fips_county,gov,state,county,pop
56031,Republican,WY,"Platte County, Wyoming",8680
38057,Republican,ND,"Mercer County, North Dakota",8694
48009,Republican,TX,"Archer County, Texas",8703
48335,Republican,TX,"Mitchell County, Texas",8720
20205,Republican,KS,"Wilson County, Kansas",8723
48237,Republican,TX,"Jack County, Texas",8744
13315,Republican,GA,"Wilcox County, Georgia",8761
51159,Democratic,VA,"Richmond County, Virginia",8774
48425,Republican,TX,"Somervell County, Texas",8775
51115,Democratic,VA,"Mathews County, Virginia",8782
21091,Republican,KY,"Hancock County, Kentucky",8810
2220,Independent,AK,"Sitka City and Borough, Alaska",8830
13165,Republican,GA,"Jenkins County, Georgia",8849
29125,Republican,MO,"Maries County, Missouri",8858
54015,Democratic,WV,"Clay County, West Virginia",8859
19051,Republican,IA,"Davis County, Iowa",8860
5097,Republican,AR,"Montgomery County, Arkansas",8879
19133,Republican,IA,"Monona County, Iowa",8898
29033,Republican,MO,"Carroll County, Missouri",8913
13273,Republican,GA,"Terrell County, Georgia",8967
54095,Democratic,WV,"Tyler County, West Virginia",8972
31045,Republican,NE,"Dawes County, Nebraska",8979
19073,Republican,IA,"Greene County, Iowa",9011
31039,Republican,NE,"Cuming County, Nebraska",9016
45005,Republican,SC,"Allendale County, South Carolina",9045
19147,Republican,IA,"Palo Alto County, Iowa",9047
28157,Republican,MS,"Wilkinson County, Mississippi",9047
13209,Republican,GA,"Montgomery County, Georgia",9060
29025,Republican,MO,"Caldwell County, Missouri",9062
55041,Republican,WI,"Forest County, Wisconsin",9064
40075,Republican,OK,"Kiowa County, Oklahoma",9077
30023,Democratic,MT,"Deer Lodge County, Montana",9085
13319,Republican,GA,"Wilkinson County, Georgia",9104
28021,Republican,MS,"Claiborne County, Mississippi",9139
20029,Republican,KS,"Cloud County, Kansas",9150
26119,Republican,MI,"Montmorency County, Michigan",9173
31081,Republican,NE,"Hamilton County, Nebraska",9186
21055,Republican,KY,"Crittenden County, Kentucky",9188
48043,Republican,TX,"Brewster County, Texas",9200
40151,Republican,OK,"Woods County, Oklahoma",9201
26003,Republican,MI,"Alger County, Michigan",9219
29153,Republican,MO,"Ozark County, Missouri",9237
31137,Republican,NE,"Phelps County, Nebraska",9266
21139,Republican,KY,"Livingston County, Kentucky",9269
29085,Republican,MO,"Hickory County, Missouri",9269
29185,Republican,MO,"St. Clair County, Missouri",9272
30087,Democratic,MT,"Rosebud County, Montana",9287
19039,Republican,IA,"Clarke County, Iowa",9309
5077,Republican,AR,"Lee County, Arkansas",9310
30021,Democratic,MT,"Dawson County, Montana",9327
19089,Republican,IA,"Howard County, Iowa",9332
2261,Independent,AK,"Valdez-Cordova Census Area, Alaska",9355
31179,Republican,NE,"Wayne County, Nebraska",9365
46023,Republican,SD,"Charles Mix County, South Dakota",9396
30001,Democratic,MT,"Beaverhead County, Montana",9401
30095,Democratic,MT,"Stillwater County, Montana",9406
13155,Republican,GA,"Irwin County, Georgia",9422
21149,Republican,KY,"McLean County, Kentucky",9475
19091,Republican,IA,"Humboldt County, Iowa",9487
13167,Republican,GA,"Johnson County, Georgia",9505
17079,Republican,IL,"Jasper County, Illinois",9536
20107,Republican,KS,"Linn County, Kansas",9558
1105,Republican,AL,"Perry County, Alabama",9574
49019,Republican,UT,"Grand County, Utah",9579
20151,Republican,KS,"Pratt County, Kansas",9584
2185,Independent,AK,"North Slope Borough, Alaska",9606
4011,Republican,AZ,"Greenlee County, Arizona",9613
40011,Republican,OK,"Blaine County, Oklahoma",9643
45065,Republican,SC,"McCormick County, South Carolina",9643
51049,Democratic,VA,"Cumberland County, Virginia",9652
19063,Republican,IA,"Emmet County, Iowa",9658
32033,Republican,NV,"White Pine County, Nevada",9682
20013,Republican,KS,"Brown County, Kansas",9684
38055,Republican,ND,"McLean County, North Dakota",9729
28155,Republican,MS,"Webster County, Mississippi",9767
56035,Republican,WY,"Sublette County, Wyoming",9769
48369,Republican,TX,"Parmer County, Texas",9776
13317,Republican,GA,"Wilkes County, Georgia",9805
20159,Republican,KS,"Rice County, Kansas",9831
20117,Republican,KS,"Marshall County, Kansas",9836
37103,Democratic,NC,"Jones County, North Carolina",9845
19025,Republican,IA,"Calhoun County, Iowa",9846
54085,Democratic,WV,"Ritchie County, West Virginia",9875
19161,Republican,IA,"Sac County, Iowa",9876
28069,Republican,MS,"Kemper County, Mississippi",9896
48429,Republican,TX,"Stephens County, Texas",9906
2180,Independent,AK,"Nome Census Area, Alaska",9917
22025,Democratic,LA,"Catahoula Parish, Louisiana",9921
40085,Republican,OK,"Love County, Oklahoma",9997
21169,Republican,KY,"Metcalfe County, Kentucky",10018
29093,Republican,MO,"Iron County, Missouri",10022
31033,Republican,NE,"Cheyenne County, Nebraska",10051
29089,Republican,MO,"Howard County, Missouri",10058
22021,Democratic,LA,"Caldwell Parish, Louisiana",10087
19107,Republican,IA,"Keokuk County, Iowa",10119
5105,Republican,AR,"Perry County, Arkansas",10132
29111,Republican,MO,"Lewis County, Missouri",10134
48315,Republican,TX,"Marion County, Texas",10147
46121,Republican,SD,"Todd County, South Dakota",10155
29079,Republican,MO,"Grundy County, Missouri",10165
19069,Republican,IA,"Franklin County, Iowa",10170
18101,Republican,IN,"Martin County, Indiana",10171
21053,Republican,KY,"Clinton County, Kentucky",10177
28097,Republican,MS,"Montgomery County, Mississippi",10187
48077,Republican,TX,"Clay County, Texas",10193
46019,Republican,SD,"Butte County, South Dakota",10205
49015,Republican,UT,"Emery County, Utah",10216
29173,Republican,MO,"Ralls County, Missouri",10224
19137,Republican,IA,"Montgomery County, Iowa",10225
28143,Republican,MS,"Tunica County, Mississippi",10234
20131,Republican,KS,"Nemaha County, Kansas",10241
38061,Republican,ND,"Mountrail County, North Dakota",10242
31089,Republican,NE,"Holt County, Nebraska",10250
28015,Republican,MS,"Carroll County, Mississippi",10255
46109,Republican,SD,"Roberts County, South Dakota",10255
5127,Republican,AR,"Scott County, Arkansas",10277
48403,Republican,TX,"Sabine County, Texas",10303
48357,Republican,TX,"Ochiltree County, Texas",10306
13099,Republican,GA,"Early County, Georgia",10339
26001,Republican,MI,"Alcona County, Michigan",10352
1085,Republican,AL,"Lowndes County, Alabama",10358
1011,Republican,AL,"Bullock County, Alabama",10362
13173,Republican,GA,"Lanier County, Georgia",10399
31037,Republican,NE,"Colfax County, Nebraska",10414
40077,Republican,OK,"Latimer County, Oklahoma",10414
37029,Democratic,NC,"Camden County, North Carolina",10418
40105,Republican,OK,"Nowata County, Oklahoma",10419
48399,Republican,TX,"Runnels County, Texas",10448
30009,Democratic,MT,"Carbon County, Montana",10460
22091,Democratic,LA,"St. Helena Parish, Louisiana",10512
18155,Republican,IN,"Switzerland County, Indiana",10527
21131,Republican,KY,"Leslie County, Kentucky",10538
18025,Republican,IN,"Crawford County, Indiana",10539
1037,Republican,AL,"Coosa County, Alabama",10581
21171,Republican,KY,"Monroe County, Kentucky",10588
48159,Republican,TX,"Franklin County, Texas",10607
19077,Republican,IA,"Guthrie County, Iowa",10625
19189,Republican,IA,"Winnebago County, Iowa",10631
21187,Republican,KY,"Owen County, Kentucky",10642
13109,Republican,GA,"Evans County, Georgia",10670
21041,Republican,KY,"Carroll County, Kentucky",10679
31145,Republican,NE,"Red Willow County, Nebraska",10722
19131,Republican,IA,"Mitchell County, Iowa",10763
51119,Democratic,VA,"Middlesex County, Virginia",10778
29149,Republican,MO,"Oregon County, Missouri",10789
48127,Republican,TX,"Dimmit County, Texas",10794
31041,Republican,NE,"Custer County, Nebraska",10807
26097,Republican,MI,"Mackinac County, Michigan",10820
5109,Republican,AR,"Pike County, Arkansas",10832
19081,Republican,IA,"Hancock County, Iowa",10835
37005,Democratic,NC,"Alleghany County, North Carolina",10848
17035,Republican,IL,"Cumberland County, Illinois",10858
38099,Republican,ND,"Walsh County, North Dakota",10904
13043,Republican,GA,"Candler County, Georgia",10910
37043,Democratic,NC,"Clay County, North Carolina",10915
13053,Republican,GA,"Chattahoochee County, Georgia",10922
38003,Republican,ND,"Barnes County, North Dakota",10926
5017,Republican,AR,"Chicot County, Arkansas",10945
51103,Democratic,VA,"Lancaster County, Virginia",10972
1131,Republican,AL,"Wilcox County, Alabama",10986
5011,Republican,AR,"Bradley County, Arkansas",10996
49023,Republican,UT,"Juab County, Utah",11010
28103,Republican,MS,"Noxubee County, Mississippi",11038
40127,Republican,OK,"Pushmataha County, Oklahoma",11057
21087,Republican,KY,"Green County, Kentucky",11060
40069,Republican,OK,"Johnston County, Oklahoma",11087
22123,Democratic,LA,"West Carroll Parish, Louisiana",11114
51057,Democratic,VA,"Essex County, Virginia",11123
19115,Republican,IA,"Louisa County, Iowa",11142
35051,Republican,NM,"Sierra County, New Mexico",11191
31013,Republican,NE,"Box Butte County, Nebraska",11194
26071,Republican,MI,"Iron County, Michigan",11195
13235,Republican,GA,"Pulaski County, Georgia",11251
41049,Democratic,OR,"Morrow County, Oregon",11274
30085,Democratic,MT,"Roosevelt County, Montana",11305
48379,Republican,TX,"Rains County, Texas",11314
13005,Republican,GA,"Bacon County, Georgia",11372
40103,Republican,OK,"Noble County, Oklahoma",11384
28065,Republican,MS,"Jefferson Davis County, Mississippi",11385
13281,Republican,GA,"Towns County, Georgia",11391
48031,Republican,TX,"Blanco County, Texas",11392
30027,Democratic,MT,"Fergus County, Montana",11413
48131,Republican,TX,"Duval County, Texas",11428
49029,Republican,UT,"Morgan County, Utah",11437
40149,Republican,OK,"Washita County, Oklahoma",11447
37073,Democratic,NC,"Gates County, North Carolina",11478
30083,Democratic,MT,"Richland County, Montana",11482
13149,Republican,GA,"Heard County, Georgia",11487
17185,Republican,IL,"Wabash County, Illinois",11492
26085,Republican,MI,"Lake County, Michigan",11496
51183,Democratic,VA,"Sussex County, Virginia",11504
19035,Republican,IA,"Cherokee County, Iowa",11508
22065,Democratic,LA,"Madison Parish, Louisiana",11528
30089,Democratic,MT,"Sanders County, Montana",11534
38071,Republican,ND,"Ramsey County, North Dakota",11547
47087,Republican,TN,"Jackson County, Tennessee",11566
48475,Republican,TX,"Ward County, Texas",11600
29139,Republican,MO,"Montgomery County, Missouri",11620
51081,Democratic,VA,"Greensville County, Virginia",11706
54023,Democratic,WV,"Grant County, West Virginia",11732
19119,Republican,IA,"Lyon County, Iowa",11754
47039,Republican,TN,"Decatur County, Tennessee",11769
19165,Republican,IA,"Shelby County, Iowa",11800
30043,Democratic,MT,"Jefferson County, Montana",11853
5041,Republican,AR,"Desha County, Arkansas",11876
12037,Republican,FL,"Franklin County, Florida",11901
47101,Republican,TN,"Lewis County, Tennessee",11904
29011,Republican,MO,"Barton County, Missouri",11908
30017,Democratic,MT,"Custer County, Montana",11924
17123,Republican,IL,"Marshall County, Illinois",11939
21159,Republican,KY,"Martin County, Kentucky",12002
47121,Republican,TN,"Meigs County, Tennessee",12005
56003,Republican,WY,"Big Horn County, Wyoming",12005
51735,Democratic,VA,"Poquoson city, Virginia",12017
19037,Republican,IA,"Chickasaw County, Iowa",12023
48507,Republican,TX,"Zavala County, Texas",12023
29017,Republican,MO,"Bollinger County, Missouri",12052
48297,Republican,TX,"Live Oak County, Texas",12056
20115,Republican,KS,"Marion County, Kansas",12112
21061,Republican,KY,"Edmonson County, Kentucky",12114
5049,Republican,AR,"Fulton County, Arkansas",12123
51037,Democratic,VA,"Charlotte County, Virginia",12129
51131,Democratic,VA,"Northampton County, Virginia",12139
18009,Republican,IN,"Blackford County, Indiana",12149
29115,Republican,MO,"Linn County, Missouri",12164
40107,Republican,OK,"Okfuskee County, Oklahoma",12167
21229,Republican,KY,"Washington County, Kentucky",12189
37187,Democratic,NC,"Washington County, North Carolina",12195
48387,Republican,TX,"Red River County, Texas",12207
51133,Democratic,VA,"Northumberland County, Virginia",12222
28111,Republican,MS,"Perry County, Mississippi",12245
35007,Republican,NM,"Colfax County, New Mexico",12253
51111,Democratic,VA,"Lunenburg County, Virginia",12273
21219,Republican,KY,"Todd County, Kentucky",12295
21197,Republican,KY,"Powell County, Kentucky",12308
19075,Republican,IA,"Grundy County, Iowa",12313
13079,Republican,GA,"Crawford County, Georgia",12322
21011,Republican,KY,"Bath County, Kentucky",12327
1035,Republican,AL,"Conecuh County, Alabama",12395
19175,Republican,IA,"Union County, Iowa",12420
18125,Republican,IN,"Pike County, Indiana",12431
29123,Republican,MO,"Madison County, Missouri",12443
5081,Republican,AR,"Little River County, Arkansas",12451
28005,Republican,MS,"Amite County, Mississippi",12458
19007,Republican,IA,"Appanoose County, Iowa",12462
28161,Republican,MS,"Yalobusha County, Mississippi",12471
13049,Republican,GA,"Charlton County, Georgia",12497
17129,Republican,IL,"Menard County, Illinois",12516
5137,Republican,AR,"Stone County, Arkansas",12539
21033,Republican,KY,"Caldwell County, Kentucky",12568
48343,Republican,TX,"Morris County, Texas",12593
29063,Republican,MO,"DeKalb County, Missouri",12613
38053,Republican,ND,"McKenzie County, North Dakota",12621
18131,Republican,IN,"Pulaski County, Indiana",12660
17017,Republican,IL,"Cass County, Illinois",12676
21153,Republican,KY,"Magoffin County, Kentucky",12684
49027,Republican,UT,"Millard County, Utah",12694
20001,Republican,KS,"Allen County, Kansas",12714
40061,Republican,OK,"Haskell County, Oklahoma",12747
28077,Republican,MS,"Lawrence County, Mississippi",12749
26141,Republican,MI,"Presque Isle County, Michigan",12762
19197,Republican,IA,"Wright County, Iowa",12779
48445,Republican,TX,"Terry County, Texas",12799
37137,Democratic,NC,"Pamlico County, North Carolina",12821
21031,Republican,KY,"Butler County, Kentucky",12845
48063,Republican,TX,"Camp County, Texas",12867
54089,Democratic,WV,"Summers County, West Virginia",12872
48487,Republican,TX,"Wilbarger County, Texas",12892
17087,Republican,IL,"Johnson County, Illinois",12902
46079,Republican,SD,"Lake County, South Dakota",12909
51007,Democratic,VA,"Amelia County, Virginia",12913
39163,Republican,OH,"Vinton County, Ohio",12921
13023,Republican,GA,"Bleckley County, Georgia",12970
1023,Republican,AL,"Choctaw County, Alabama",12993
1119,Republican,AL,"Sumter County, Alabama",13040
51113,Democratic,VA,"Madison County, Virginia",13078
17061,Republican,IL,"Greene County, Illinois",13093
55011,Republican,WI,"Buffalo County, Wisconsin",13099
48115,Republican,TX,"Dawson County, Texas",13111
29223,Republican,MO,"Wayne County, Missouri",13139
19029,Republican,IA,"Cass County, Iowa",13157
47161,Republican,TN,"Stewart County, Tennessee",13182
48279,Republican,TX,"Lamb County, Texas",13275
21025,Republican,KY,"Breathitt County, Kentucky",13284
20085,Republican,KS,"Jackson County, Kansas",13291
21175,Republican,KY,"Morgan County, Kentucky",13298
17025,Republican,IL,"Clay County, Illinois",13300
21233,Republican,KY,"Webster County, Kentucky",13316
37143,Democratic,NC,"Perquimans County, North Carolina",13335
30003,Democratic,MT,"Big Horn County, Montana",13343
29067,Republican,MO,"Douglas County, Missouri",13358
21109,Republican,KY,"Jackson County, Kentucky",13368
54063,Democratic,WV,"Monroe County, West Virginia",13370
5061,Republican,AR,"Howard County, Arkansas",13377
47061,Republican,TN,"Grundy County, Tennessee",13389
56015,Republican,WY,"Goshen County, Wyoming",13390
28041,Republican,MS,"Greene County, Mississippi",13408
5065,Republican,AR,"Izard County, Arkansas",13433
21135,Republican,KY,"Lewis County, Kentucky",13442
51690,Democratic,VA,"Martinsville city, Virginia",13445
13193,Republican,GA,"Macon County, Georgia",13450
48093,Republican,TX,"Comanche County, Texas",13484
1027,Republican,AL,"Clay County, Alabama",13492
17125,Republican,IL,"Mason County, Illinois",13507
55099,Republican,WI,"Price County, Wisconsin",13517
40063,Republican,OK,"Hughes County, Oklahoma",13566
17053,Republican,IL,"Ford County, Illinois",13575
13159,Republican,GA,"Jasper County, Georgia",13654
29151,Republican,MO,"Osage County, Missouri",13664
30035,Democratic,MT,"Glacier County, Montana",13694
5079,Republican,AR,"Lincoln County, Arkansas",13705
2150,Independent,AK,"Kodiak Island Borough, Alaska",13732
26039,Republican,MI,"Crawford County, Michigan",13744
2130,Independent,AK,"Ketchikan Gateway Borough, Alaska",13746
13093,Republican,GA,"Dooly County, Georgia",13763
31185,Republican,NE,"York County, Nebraska",13794
29133,Republican,MO,"Mississippi County, Missouri",13799
40005,Republican,OK,"Atoka County, Oklahoma",13810
29181,Republican,MO,"Ripley County, Missouri",13817
48059,Republican,TX,"Callahan County, Texas",13820
22013,Democratic,LA,"Bienville Parish, Louisiana",13865
19005,Republican,IA,"Allamakee County, Iowa",13884
54031,Democratic,WV,"Hardy County, West Virginia",13889
12065,Republican,FL,"Jefferson County, Florida",13906
1041,Republican,AL,"Crenshaw County, Alabama",13913
1075,Republican,AL,"Lamar County, Alabama",13918
40099,Republican,OK,"Murray County, Oklahoma",13918
18111,Republican,IN,"Newton County, Indiana",13924
13191,Republican,GA,"McIntosh County, Georgia",13927
12043,Republican,FL,"Glades County, Florida",13970
48313,Republican,TX,"Madison County, Texas",13987
48351,Republican,TX,"Newton County, Texas",14003
51610,Democratic,VA,"Falls Church city, Virginia",14014
29039,Republican,MO,"Cedar County, Missouri",14016
19141,Republican,IA,"O'Brien County, Iowa",14020
47015,Republican,TN,"Cannon County, Tennessee",14027
13251,Republican,GA,"Screven County, Georgia",14044
46027,Republican,SD,"Clay County, South Dakota",14086
21123,Republican,KY,"Larue County, Kentucky",14096
55107,Republican,WI,"Rusk County, Wisconsin",14127
19085,Republican,IA,"Harrison County, Iowa",14149
17189,Republican,IL,"Washington County, Illinois",14154
56009,Republican,WY,"Converse County, Wyoming",14191
54087,Democratic,WV,"Roane County, West Virginia",14208
39111,Republican,OH,"Monroe County, Ohio",14210
21221,Republican,KY,"Trigg County, Kentucky",14264
17193,Republican,IL,"White County, Illinois",14292
39121,Republican,OH,"Noble County, Ohio",14294
21065,Republican,KY,"Estill County, Kentucky",14307
31151,Republican,NE,"Saline County, Nebraska",14331
37173,Democratic,NC,"Swain County, North Carolina",14346
48505,Republican,TX,"Zapata County, Texas",14349
12047,Republican,FL,"Hamilton County, Florida",14361
51043,Democratic,VA,"Clarke County, Virginia",14374
22127,Democratic,LA,"Winn Parish, Louisiana",14376
37041,Democratic,NC,"Chowan County, North Carolina",14383
28135,Republican,MS,"Tallahatchie County, Mississippi",14394
47033,Republican,TN,"Crockett County, Tennessee",14411
12013,Republican,FL,"Calhoun County, Florida",14423
45009,Republican,SC,"Bamberg County, South Carolina",14434
48455,Republican,TX,"Trinity County, Texas",14442
54007,Democratic,WV,"Braxton County, West Virginia",14471
21069,Republican,KY,"Fleming County, Kentucky",14507
17015,Republican,IL,"Carroll County, Illinois",14539
21191,Republican,KY,"Pendleton County, Kentucky",14560
28147,Republican,MS,"Walthall County, Mississippi",14599
28013,Republican,MS,"Calhoun County, Mississippi",14610
20011,Republican,KS,"Bourbon County, Kansas",14617
40035,Republican,OK,"Craig County, Oklahoma",14625
42057,Democratic,PA,"Fulton County, Pennsylvania",14640
17127,Republican,IL,"Massac County, Illinois",14658
38079,Republican,ND,"Rolette County, North Dakota",14659
47007,Republican,TN,"Bledsoe County, Tennessee",14675
19023,Republican,IA,"Butler County, Iowa",14791
45017,Republican,SC,"Calhoun County, South Carolina",14796
39115,Republican,OH,"Morgan County, Ohio",14804
29073,Republican,MO,"Gasconade County, Missouri",14808
17139,Republican,IL,"Moultrie County, Illinois",14827
51125,Democratic,VA,"Nelson County, Virginia",14869
48239,Republican,TX,"Jackson County, Texas",14869
13161,Republican,GA,"Jeff Davis County, Georgia",14877
21225,Republican,KY,"Union County, Kentucky",14880
40023,Republican,OK,"Choctaw County, Oklahoma",14885
55007,Republican,WI,"Bayfield County, Wisconsin",14891
47153,Republican,TN,"Sequatchie County, Tennessee",14897
18013,Republican,IN,"Brown County, Indiana",14912
5021,Republican,AR,"Clay County, Arkansas",14920
13221,Republican,GA,"Oglethorpe County, Georgia",14921
48389,Republican,TX,"Reeves County, Texas",14921
1029,Republican,AL,"Cleburne County, Alabama",14924
46127,Republican,SD,"Union County, South Dakota",14934
1065,Republican,AL,"Hale County, Alabama",14952
51051,Democratic,VA,"Dickenson County, Virginia",14968
19129,Republican,IA,"Mills County, Iowa",14972
48353,Republican,TX,"Nolan County, Texas",14993
22059,Democratic,LA,"LaSalle Parish, Louisiana",15052
55077,Republican,WI,"Marquette County, Wisconsin",15067
19079,Republican,IA,"Hamilton County, Iowa",15076
26113,Republican,MI,"Missaukee County, Michigan",15102
51077,Democratic,VA,"Grayson County, Virginia",15107
19109,Republican,IA,"Kossuth County, Iowa",15114
26011,Republican,MI,"Arenac County, Michigan",15122
37121,Democratic,NC,"Mitchell County, North Carolina",15126
12125,Republican,FL,"Union County, Florida",15142
29121,Republican,MO,"Macon County, Missouri",15170
18159,Republican,IN,"Tipton County, Indiana",15182
55013,Republican,WI,"Burnett County, Wisconsin",15213
51830,Democratic,VA,"Williamsburg city, Virginia",15214
29117,Republican,MO,"Livingston County, Missouri",15235
26053,Republican,MI,"Gogebic County, Michigan",15243
48255,Republican,TX,"Karnes County, Texas",15254
35057,Republican,NM,"Torrance County, New Mexico",15302
39067,Republican,OH,"Harrison County, Ohio",15307
22125,Democratic,LA,"West Feliciana Parish, Louisiana",15344
29065,Republican,MO,"Dent County, Missouri",15387
19145,Republican,IA,"Page County, Iowa",15391
51011,Democratic,VA,"Appomattox County, Virginia",15475
21119,Republican,KY,"Knott County, Kentucky",15544
51005,Democratic,VA,"Alleghany County, Virginia",15595
51135,Democratic,VA,"Nottoway County, Virginia",15595
56007,Republican,WY,"Carbon County, Wyoming",15618
40073,Republican,OK,"Kingfisher County, Oklahoma",15638
54103,Democratic,WV,"Wetzel County, West Virginia",15640
18165,Republican,IN,"Vermillion County, Indiana",15645
55129,Republican,WI,"Washburn County, Wisconsin",15648
13027,Republican,GA,"Brooks County, Georgia",15687
55003,Republican,WI,"Ashland County, Wisconsin",15714
17131,Republican,IL,"Mercer County, Illinois",15730
51063,Democratic,VA,"Floyd County, Virginia",15731
22049,Democratic,LA,"Jackson Parish, Louisiana",15808
21045,Republican,KY,"Casey County, Kentucky",15815
21103,Republican,KY,"Henry County, Kentucky",15818
20139,Republican,KS,"Osage County, Kansas",15843
19121,Republican,IA,"Madison County, Iowa",15848
21127,Republican,KY,"Lawrence County, Kentucky",15863
19067,Republican,IA,"Floyd County, Iowa",15873
28023,Republican,MS,"Clarke County, Mississippi",15888
28129,Republican,MS,"Smith County, Mississippi",15909
51685,Democratic,VA,"Manassas Park city, Virginia",15915
13163,Republican,GA,"Jefferson County, Georgia",15916
17159,Republican,IL,"Richland County, Illinois",15930
17023,Republican,IL,"Clark County, Illinois",15938
17149,Republican,IL,"Pike County, Illinois",15950
13271,Republican,GA,"Telfair County, Georgia",15965
48371,Republican,TX,"Pecos County, Texas",15970
12045,Republican,FL,"Gulf County, Florida",15990
47005,Republican,TN,"Benton County, Tennessee",16014
29135,Republican,MO,"Moniteau County, Missouri",16018
41001,Democratic,OR,"Baker County, Oregon",16059
5087,Republican,AR,"Madison County, Arkansas",16072
31131,Republican,NE,"Otoe County, Nebraska",16081
30067,Democratic,MT,"Park County, Montana",16114
22027,Democratic,LA,"Claiborne Parish, Louisiana",16132
20133,Republican,KS,"Neosho County, Kansas",16146
40095,Republican,OK,"Marshall County, Oklahoma",16191
17039,Republican,IL,"De Witt County, Illinois",16226
51025,Democratic,VA,"Brunswick County, Virginia",16243
13083,Republican,GA,"Dade County, Georgia",16257
12029,Republican,FL,"Dixie County, Florida",16300
54041,Democratic,WV,"Lewis County, West Virginia",16309
19095,Republican,IA,"Iowa County, Iowa",16311
55023,Republican,WI,"Crawford County, Wisconsin",16321
5089,Republican,AR,"Marion County, Arkansas",16325
19041,Republican,IA,"Clay County, Iowa",16333
51101,Democratic,VA,"King William County, Virginia",16334
38077,Republican,ND,"Richland County, North Dakota",16353
55113,Republican,WI,"Sawyer County, Wisconsin",16369
17101,Republican,IL,"Lawrence County, Illinois",16377
20005,Republican,KS,"Atchison County, Kansas",16380
17191,Republican,IL,"Wayne County, Illinois",16396
29013,Republican,MO,"Bates County, Missouri",16417
29059,Republican,MO,"Dallas County, Missouri",16448
40117,Republican,OK,"Pawnee County, Oklahoma",16485
18045,Republican,IN,"Fountain County, Indiana",16486
30041,Democratic,MT,"Hill County, Montana",16542
1057,Republican,AL,"Fayette County, Alabama",16546
13241,Republican,GA,"Rabun County, Georgia",16559
17147,Republican,IL,"Piatt County, Illinois",16560
28061,Republican,MS,"Jasper County, Mississippi",16578
5141,Republican,AR,"Van Buren County, Arkansas",16628
18139,Republican,IN,"Rush County, Indiana",16649
47181,Republican,TN,"Wayne County, Tennessee",16713
5075,Republican,AR,"Lawrence County, Arkansas",16735
48395,Republican,TX,"Robertson County, Texas",16751
55065,Republican,WI,"Lafayette County, Wisconsin",16753
1129,Republican,AL,"Washington County, Alabama",16756
47139,Republican,TN,"Polk County, Tennessee",16772
18121,Republican,IN,"Parke County, Indiana",16800
17005,Republican,IL,"Bond County, Illinois",16824
54001,Democratic,WV,"Barbour County, West Virginia",16831
32013,Republican,NV,"Humboldt County, Nevada",16842
23021,Republican,ME,"Piscataquis County, Maine",16843
21203,Republican,KY,"Rockcastle County, Kentucky",16850
51071,Democratic,VA,"Giles County, Virginia",16857
54091,Democratic,WV,"Taylor County, West Virginia",16859
42105,Democratic,PA,"Potter County, Pennsylvania",16885
49037,Republican,UT,"San Juan County, Utah",16895
5133,Republican,AR,"Sevier County, Arkansas",16910
19047,Republican,IA,"Crawford County, Iowa",16940
51520,Democratic,VA,"Bristol city, Virginia",16960
13133,Republican,GA,"Greene County, Georgia",17003
35053,Republican,NM,"Socorro County, New Mexico",17027
5037,Republican,AR,"Cross County, Arkansas",17037
51029,Democratic,VA,"Buckingham County, Virginia",17048
48287,Republican,TX,"Lee County, Texas",17055
29155,Republican,MO,"Pemiscot County, Missouri",17073
5135,Republican,AR,"Sharp County, Arkansas",17157
1067,Republican,AL,"Henry County, Alabama",17164
13075,Republican,GA,"Cook County, Georgia",17167
21161,Republican,KY,"Mason County, Kentucky",17190
12041,Republican,FL,"Gilchrist County, Florida",17212
17181,Republican,IL,"Union County, Illinois",17212
5067,Republican,AR,"Jackson County, Arkansas",17221
19083,Republican,IA,"Hardin County, Iowa",17226
13017,Republican,GA,"Ben Hill County, Georgia",17243
19059,Republican,IA,"Dickinson County, Iowa",17243
28017,Republican,MS,"Chickasaw County, Mississippi",17246
26079,Republican,MI,"Kalkaska County, Michigan",17263
48145,Republican,TX,"Falls County, Texas",17273
31159,Republican,NE,"Seward County, Nebraska",17284
21079,Republican,KY,"Garrard County, Kentucky",17292
48289,Republican,TX,"Leon County, Texas",17299
19171,Republican,IA,"Tama County, Iowa",17319
19055,Republican,IA,"Delaware County, Iowa",17327
48415,Republican,TX,"Scurry County, Texas",17333
29003,Republican,MO,"Andrew County, Missouri",17350
17187,Republican,IL,"Warren County, Illinois",17378
5121,Republican,AR,"Randolph County, Arkansas",17448
47023,Republican,TN,"Chester County, Tennessee",17453
55103,Republican,WI,"Richland County, Wisconsin",17476
51750,Democratic,VA,"Radford city, Virginia",17483
21147,Republican,KY,"McCreary County, Kentucky",17511
37011,Democratic,NC,"Avery County, North Carolina",17516
17045,Republican,IL,"Edgar County, Illinois",17566
26019,Republican,MI,"Benzie County, Michigan",17572
19043,Republican,IA,"Clayton County, Iowa",17590
51193,Democratic,VA,"Westmoreland County, Virginia",17592
46065,Republican,SD,"Hughes County, South Dakota",17600
5047,Republican,AR,"Franklin County, Arkansas",17626
54065,Democratic,WV,"Morgan County, West Virginia",17632
45061,Republican,SC,"Lee County, South Carolina",17635
37199,Democratic,NC,"Yancey County, North Carolina",17678
29053,Republican,MO,"Cooper County, Missouri",17712
47171,Republican,TN,"Unicoi County, Tennessee",17719
21207,Republican,KY,"Russell County, Kentucky",17722
47091,Republican,TN,"Johnson County, Tennessee",17754
