,Code,County,State,Title,Period,LF,Emp,U Level,U Rate,FIPS
44281,CN4701500000000,47.0,15.0,"Cannon County, TN",Jun-17(p),"6,250","5,985",265,4.2,47015
44282,CN4701700000000,47.0,17.0,"Carroll County, TN",Jun-17(p),"11,759","11,092",667,5.7,47017
44283,CN4701900000000,47.0,19.0,"Carter County, TN",Jun-17(p),"23,683","22,506","1,177",5.0,47019
44284,CN4702100000000,47.0,21.0,"Cheatham County, TN",Jun-17(p),"21,214","20,492",722,3.4,47021
44285,CN4702300000000,47.0,23.0,"Chester County, TN",Jun-17(p),"8,665","8,242",423,4.9,47023
44286,CN4702500000000,47.0,25.0,"Claiborne County, TN",Jun-17(p),"12,661","11,962",699,5.5,47025
44287,CN4702700000000,47.0,27.0,"Clay County, TN",Jun-17(p),"2,952","2,788",164,5.6,47027
44288,CN4702900000000,47.0,29.0,"Cocke County, TN",Jun-17(p),"14,505","13,758",747,5.1,47029
44289,CN4703100000000,47.0,31.0,"Coffee County, TN",Jun-17(p),"25,064","24,034","1,030",4.1,47031
44290,CN4703300000000,47.0,33.0,"Crockett County, TN",Jun-17(p),"7,040","6,737",303,4.3,47033
44291,CN4703500000000,47.0,35.0,"Cumberland County, TN",Jun-17(p),"23,813","22,671","1,142",4.8,47035
44292,CN4703700000000,47.0,37.0,"Davidson County, TN",Jun-17(p),"391,029","378,936","12,093",3.1,47037
44293,CN4703900000000,47.0,39.0,"Decatur County, TN",Jun-17(p),"4,636","4,395",241,5.2,47039
44294,CN4704100000000,47.0,41.0,"DeKalb County, TN",Jun-17(p),"7,646","7,230",416,5.4,47041
44295,CN4704300000000,47.0,43.0,"Dickson County, TN",Jun-17(p),"25,719","24,767",952,3.7,47043
44296,CN4704500000000,47.0,45.0,"Dyer County, TN",Jun-17(p),"16,590","15,757",833,5.0,47045
44297,CN4704700000000,47.0,47.0,"Fayette County, TN",Jun-17(p),"18,291","17,524",767,4.2,47047
44298,CN4704900000000,47.0,49.0,"Fentress County, TN",Jun-17(p),"6,923","6,560",363,5.2,47049
44299,CN4705100000000,47.0,51.0,"Franklin County, TN",Jun-17(p),"19,736","18,878",858,4.3,47051
44300,CN4705300000000,47.0,53.0,"Gibson County, TN",Jun-17(p),"21,610","20,549","1,061",4.9,47053
44301,CN4705500000000,47.0,55.0,"Giles County, TN",Jun-17(p),"15,758","15,126",632,4.0,47055
44302,CN4705700000000,47.0,57.0,"Grainger County, TN",Jun-17(p),"9,285","8,841",444,4.8,47057
44303,CN4705900000000,47.0,59.0,"Greene County, TN",Jun-17(p),"30,793","29,290","1,503",4.9,47059
44304,CN4706100000000,47.0,61.0,"Grundy County, TN",Jun-17(p),"4,574","4,299",275,6.0,47061
44305,CN4706300000000,47.0,63.0,"Hamblen County, TN",Jun-17(p),"27,297","26,080","1,217",4.5,47063
44306,CN4706500000000,47.0,65.0,"Hamilton County, TN",Jun-17(p),"178,707","171,412","7,295",4.1,47065
44307,CN4706700000000,47.0,67.0,"Hancock County, TN",Jun-17(p),"1,926","1,790",136,7.1,47067
44308,CN4706900000000,47.0,69.0,"Hardeman County, TN",Jun-17(p),"9,219","8,734",485,5.3,47069
44309,CN4707100000000,47.0,71.0,"Hardin County, TN",Jun-17(p),"10,528","9,938",590,5.6,47071
44310,CN4707300000000,47.0,73.0,"Hawkins County, TN",Jun-17(p),"23,697","22,577","1,120",4.7,47073
44311,CN4707500000000,47.0,75.0,"Haywood County, TN",Jun-17(p),"7,694","7,251",443,5.8,47075
44312,CN4707700000000,47.0,77.0,"Henderson County, TN",Jun-17(p),"12,151","11,515",636,5.2,47077
44313,CN4707900000000,47.0,79.0,"Henry County, TN",Jun-17(p),"13,825","13,176",649,4.7,47079
44314,CN4708100000000,47.0,81.0,"Hickman County, TN",Jun-17(p),"10,955","10,536",419,3.8,47081
44315,CN4708300000000,47.0,83.0,"Houston County, TN",Jun-17(p),"3,105","2,909",196,6.3,47083
44316,CN4708500000000,47.0,85.0,"Humphreys County, TN",Jun-17(p),"8,563","8,158",405,4.7,47085
44317,CN4708700000000,47.0,87.0,"Jackson County, TN",Jun-17(p),"4,387","4,129",258,5.9,47087
44318,CN4708900000000,47.0,89.0,"Jefferson County, TN",Jun-17(p),"23,963","22,905","1,058",4.4,47089
44319,CN4709100000000,47.0,91.0,"Johnson County, TN",Jun-17(p),"7,747","7,441",306,3.9,47091
44320,CN4709300000000,47.0,93.0,"Knox County, TN",Jun-17(p),"235,305","226,496","8,809",3.7,47093
44321,CN4709500000000,47.0,95.0,"Lake County, TN",Jun-17(p),"1,857","1,755",102,5.5,47095
44322,CN4709700000000,47.0,97.0,"Lauderdale County, TN",Jun-17(p),"9,387","8,777",610,6.5,47097
44323,CN4709900000000,47.0,99.0,"Lawrence County, TN",Jun-17(p),"17,759","16,877",882,5.0,47099
44324,CN4710100000000,47.0,101.0,"Lewis County, TN",Jun-17(p),"4,915","4,674",241,4.9,47101
44325,CN4710300000000,47.0,103.0,"Lincoln County, TN",Jun-17(p),"15,999","15,378",621,3.9,47103
44326,CN4710500000000,47.0,105.0,"Loudon County, TN",Jun-17(p),"22,394","21,456",938,4.2,47105
44327,CN4710700000000,47.0,107.0,"McMinn County, TN",Jun-17(p),"22,819","21,720","1,099",4.8,47107
44328,CN4710900000000,47.0,109.0,"McNairy County, TN",Jun-17(p),"8,809","8,278",531,6.0,47109
44329,CN4711100000000,47.0,111.0,"Macon County, TN",Jun-17(p),"10,576","10,134",442,4.2,47111
44330,CN4711300000000,47.0,113.0,"Madison County, TN",Jun-17(p),"48,908","46,773","2,135",4.4,47113
44331,CN4711500000000,47.0,115.0,"Marion County, TN",Jun-17(p),"12,478","11,807",671,5.4,47115
44332,CN4711700000000,47.0,117.0,"Marshall County, TN",Jun-17(p),"15,753","15,157",596,3.8,47117
44333,CN4711900000000,47.0,119.0,"Maury County, TN",Jun-17(p),"45,365","43,680","1,685",3.7,47119
44334,CN4712100000000,47.0,121.0,"Meigs County, TN",Jun-17(p),"4,890","4,614",276,5.6,47121
44335,CN4712300000000,47.0,123.0,"Monroe County, TN",Jun-17(p),"19,342","18,428",914,4.7,47123
44336,CN4712500000000,47.0,125.0,"Montgomery County, TN",Jun-17(p),"79,757","76,082","3,675",4.6,47125
44337,CN4712700000000,47.0,127.0,"Moore County, TN",Jun-17(p),"3,327","3,197",130,3.9,47127
44338,CN4712900000000,47.0,129.0,"Morgan County, TN",Jun-17(p),"7,840","7,412",428,5.5,47129
44339,CN4713100000000,47.0,131.0,"Obion County, TN",Jun-17(p),"12,453","11,756",697,5.6,47131
44340,CN4713300000000,47.0,133.0,"Overton County, TN",Jun-17(p),"9,227","8,794",433,4.7,47133
44341,CN4713500000000,47.0,135.0,"Perry County, TN",Jun-17(p),"3,187","3,029",158,5.0,47135
44342,CN4713700000000,47.0,137.0,"Pickett County, TN",Jun-17(p),"2,366","2,247",119,5.0,47137
44343,CN4713900000000,47.0,139.0,"Polk County, TN",Jun-17(p),"7,556","7,176",380,5.0,47139
44344,CN4714100000000,47.0,141.0,"Putnam County, TN",Jun-17(p),"33,367","31,878","1,489",4.5,47141
44345,CN4714300000000,47.0,143.0,"Rhea County, TN",Jun-17(p),"12,818","11,883",935,7.3,47143
44346,CN4714500000000,47.0,145.0,"Roane County, TN",Jun-17(p),"23,069","21,956","1,113",4.8,47145
44347,CN4714700000000,47.0,147.0,"Robertson County, TN",Jun-17(p),"36,264","34,866","1,398",3.9,47147
44348,CN4714900000000,47.0,149.0,"Rutherford County, TN",Jun-17(p),"167,540","161,827","5,713",3.4,47149
44349,CN4715100000000,47.0,151.0,"Scott County, TN",Jun-17(p),"7,933","7,469",464,5.8,47151
44350,CN4715300000000,47.0,153.0,"Sequatchie County, TN",Jun-17(p),"6,167","5,839",328,5.3,47153
44351,CN4715500000000,47.0,155.0,"Sevier County, TN",Jun-17(p),"53,657","51,770","1,887",3.5,47155
44352,CN4715700000000,47.0,157.0,"Shelby County, TN",Jun-17(p),"444,916","423,238","21,678",4.9,47157
44353,CN4715900000000,47.0,159.0,"Smith County, TN",Jun-17(p),"9,030","8,675",355,3.9,47159
44354,CN4716100000000,47.0,161.0,"Stewart County, TN",Jun-17(p),"5,122","4,828",294,5.7,47161
44355,CN4716300000000,47.0,163.0,"Sullivan County, TN",Jun-17(p),"70,046","66,805","3,241",4.6,47163
44356,CN4716500000000,47.0,165.0,"Sumner County, TN",Jun-17(p),"95,055","91,866","3,189",3.4,47165
44357,CN4716700000000,47.0,167.0,"Tipton County, TN",Jun-17(p),"28,190","26,811","1,379",4.9,47167
44358,CN4716900000000,47.0,169.0,"Trousdale County, TN",Jun-17(p),"3,909","3,758",151,3.9,47169
44359,CN4717100000000,47.0,171.0,"Unicoi County, TN",Jun-17(p),"6,993","6,581",412,5.9,47171
44360,CN4717300000000,47.0,173.0,"Union County, TN",Jun-17(p),"7,363","6,986",377,5.1,47173
44361,CN4717500000000,47.0,175.0,"Van Buren County, TN",Jun-17(p),"2,015","1,908",107,5.3,47175
44362,CN4717700000000,47.0,177.0,"Warren County, TN",Jun-17(p),"17,177","16,370",807,4.7,47177
44363,CN4717900000000,47.0,179.0,"Washington County, TN",Jun-17(p),"58,461","55,869","2,592",4.4,47179
44364,CN4718100000000,47.0,181.0,"Wayne County, TN",Jun-17(p),"6,051","5,682",369,6.1,47181
44365,CN4718300000000,47.0,183.0,"Weakley County, TN",Jun-17(p),"15,155","14,303",852,5.6,47183
44366,CN4718500000000,47.0,185.0,"White County, TN",Jun-17(p),"11,811","11,277",534,4.5,47185
44367,CN4718700000000,47.0,187.0,"Williamson County, TN",Jun-17(p),"115,794","112,138","3,656",3.2,47187
44368,CN4718900000000,47.0,189.0,"Wilson County, TN",Jun-17(p),"69,328","67,026","2,302",3.3,47189
44369,CN4800100000000,48.0,1.0,"Anderson County, TX",Jun-17(p),"24,477","23,510",967,4.0,48001
44370,CN4800300000000,48.0,3.0,"Andrews County, TX",Jun-17(p),"8,367","8,057",310,3.7,48003
44371,CN4800500000000,48.0,5.0,"Angelina County, TX",Jun-17(p),"36,586","34,542","2,044",5.6,48005
44372,CN4800700000000,48.0,7.0,"Aransas County, TX",Jun-17(p),"10,213","9,628",585,5.7,48007
44373,CN4800900000000,48.0,9.0,"Archer County, TX",Jun-17(p),"4,033","3,871",162,4.0,48009
44374,CN4801100000000,48.0,11.0,"Armstrong County, TX",Jun-17(p),975,951,24,2.5,48011
44375,CN4801300000000,48.0,13.0,"Atascosa County, TX",Jun-17(p),"21,249","20,284",965,4.5,48013
44376,CN4801500000000,48.0,15.0,"Austin County, TX",Jun-17(p),"14,187","13,503",684,4.8,48015
44377,CN4801700000000,48.0,17.0,"Bailey County, TX",Jun-17(p),"2,770","2,631",139,5.0,48017
44378,CN4801900000000,48.0,19.0,"Bandera County, TX",Jun-17(p),"9,520","9,144",376,3.9,48019
44379,CN4802100000000,48.0,21.0,"Bastrop County, TX",Jun-17(p),"39,659","38,056","1,603",4.0,48021
44380,CN4802300000000,48.0,23.0,"Baylor County, TX",Jun-17(p),"1,548","1,487",61,3.9,48023
44381,CN4802500000000,48.0,25.0,"Bee County, TX",Jun-17(p),"9,944","9,263",681,6.8,48025
44382,CN4802700000000,48.0,27.0,"Bell County, TX",Jun-17(p),"143,059","136,680","6,379",4.5,48027
44383,CN4802900000000,48.0,29.0,"Bexar County, TX",Jun-17(p),"917,086","881,199","35,887",3.9,48029
44384,CN4803100000000,48.0,31.0,"Blanco County, TX",Jun-17(p),"5,995","5,819",176,2.9,48031
44385,CN4803300000000,48.0,33.0,"Borden County, TX",Jun-17(p),394,381,13,3.3,48033
44386,CN4803500000000,48.0,35.0,"Bosque County, TX",Jun-17(p),"8,242","7,881",361,4.4,48035
44387,CN4803700000000,48.0,37.0,"Bowie County, TX",Jun-17(p),"39,369","37,363","2,006",5.1,48037
44388,CN4803900000000,48.0,39.0,"Brazoria County, TX",Jun-17(p),"171,074","161,191","9,883",5.8,48039
44389,CN4804100000000,48.0,41.0,"Brazos County, TX",Jun-17(p),"109,540","105,541","3,999",3.7,48041
44390,CN4804300000000,48.0,43.0,"Brewster County, TX",Jun-17(p),"3,910","3,763",147,3.8,48043
44391,CN4804500000000,48.0,45.0,"Briscoe County, TX",Jun-17(p),557,529,28,5.0,48045
44392,CN4804700000000,48.0,47.0,"Brooks County, TX",Jun-17(p),"2,269","2,040",229,10.1,48047
44393,CN4804900000000,48.0,49.0,"Brown County, TX",Jun-17(p),"16,271","15,558",713,4.4,48049
44394,CN4805100000000,48.0,51.0,"Burleson County, TX",Jun-17(p),"7,807","7,441",366,4.7,48051
44395,CN4805300000000,48.0,53.0,"Burnet County, TX",Jun-17(p),"22,946","22,188",758,3.3,48053
44396,CN4805500000000,48.0,55.0,"Caldwell County, TX",Jun-17(p),"18,405","17,591",814,4.4,48055
44397,CN4805700000000,48.0,57.0,"Calhoun County, TX",Jun-17(p),"10,587","9,961",626,5.9,48057
44398,CN4805900000000,48.0,59.0,"Callahan County, TX",Jun-17(p),"5,689","5,463",226,4.0,48059
44399,CN4806100000000,48.0,61.0,"Cameron County, TX",Jun-17(p),"168,227","155,060","13,167",7.8,48061
44400,CN4806300000000,48.0,63.0,"Camp County, TX",Jun-17(p),"4,857","4,544",313,6.4,48063
44401,CN4806500000000,48.0,65.0,"Carson County, TX",Jun-17(p),"3,088","2,976",112,3.6,48065
44402,CN4806700000000,48.0,67.0,"Cass County, TX",Jun-17(p),"12,066","11,291",775,6.4,48067
44403,CN4806900000000,48.0,69.0,"Castro County, TX",Jun-17(p),"3,567","3,438",129,3.6,48069
44404,CN4807100000000,48.0,71.0,"Chambers County, TX",Jun-17(p),"18,332","17,056","1,276",7.0,48071
44405,CN4807300000000,48.0,73.0,"Cherokee County, TX",Jun-17(p),"21,153","20,124","1,029",4.9,48073
44406,CN4807500000000,48.0,75.0,"Childress County, TX",Jun-17(p),"3,079","2,979",100,3.2,48075
44407,CN4807700000000,48.0,77.0,"Clay County, TX",Jun-17(p),"4,788","4,600",188,3.9,48077
44408,CN4807900000000,48.0,79.0,"Cochran County, TX",Jun-17(p),"1,160","1,103",57,4.9,48079
44409,CN4808100000000,48.0,81.0,"Coke County, TX",Jun-17(p),"1,415","1,361",54,3.8,48081
44410,CN4808300000000,48.0,83.0,"Coleman County, TX",Jun-17(p),"3,050","2,899",151,5.0,48083
44411,CN4808500000000,48.0,85.0,"Collin County, TX",Jun-17(p),"519,027","499,322","19,705",3.8,48085
44412,CN4808700000000,48.0,87.0,"Collingsworth County, TX",Jun-17(p),"1,224","1,176",48,3.9,48087
44413,CN4808900000000,48.0,89.0,"Colorado County, TX",Jun-17(p),"9,845","9,430",415,4.2,48089
44414,CN4809100000000,48.0,91.0,"Comal County, TX",Jun-17(p),"64,526","62,125","2,401",3.7,48091
44415,CN4809300000000,48.0,93.0,"Comanche County, TX",Jun-17(p),"5,362","5,157",205,3.8,48093
44416,CN4809500000000,48.0,95.0,"Concho County, TX",Jun-17(p),"1,325","1,242",83,6.3,48095
44417,CN4809700000000,48.0,97.0,"Cooke County, TX",Jun-17(p),"18,444","17,672",772,4.2,48097
44418,CN4809900000000,48.0,99.0,"Coryell County, TX",Jun-17(p),"25,666","24,535","1,131",4.4,48099
44419,CN4810100000000,48.0,101.0,"Cottle County, TX",Jun-17(p),595,569,26,4.4,48101
44420,CN4810300000000,48.0,103.0,"Crane County, TX",Jun-17(p),"1,652","1,564",88,5.3,48103
44421,CN4810500000000,48.0,105.0,"Crockett County, TX",Jun-17(p),"1,648","1,573",75,4.6,48105
44422,CN4810700000000,48.0,107.0,"Crosby County, TX",Jun-17(p),"2,671","2,532",139,5.2,48107
44423,CN4810900000000,48.0,109.0,"Culberson County, TX",Jun-17(p),"1,076","1,040",36,3.3,48109
44424,CN4811100000000,48.0,111.0,"Dallam County, TX",Jun-17(p),"4,121","4,021",100,2.4,48111
44425,CN4811300000000,48.0,113.0,"Dallas County, TX",Jun-17(p),"1,337,824","1,281,826","55,998",4.2,48113
44426,CN4811500000000,48.0,115.0,"Dawson County, TX",Jun-17(p),"4,630","4,358",272,5.9,48115
44427,CN4811700000000,48.0,117.0,"Deaf Smith County, TX",Jun-17(p),"8,512","8,215",297,3.5,48117
44428,CN4811900000000,48.0,119.0,"Delta County, TX",Jun-17(p),"2,528","2,430",98,3.9,48119
44429,CN4812100000000,48.0,121.0,"Denton County, TX",Jun-17(p),"455,082","438,265","16,817",3.7,48121
44430,CN4812300000000,48.0,123.0,"DeWitt County, TX",Jun-17(p),"9,034","8,579",455,5.0,48123
44431,CN4812500000000,48.0,125.0,"Dickens County, TX",Jun-17(p),716,680,36,5.0,48125
44432,CN4812700000000,48.0,127.0,"Dimmit County, TX",Jun-17(p),"5,713","5,345",368,6.4,48127
